Ref,Val,Package,PosX,PosY,Rot,Side
"BT1","Battery-4xNiMH","TerminalBlock_Dinkle_DT-55-B01X-02_P10.00mm",129.819500,-114.685621,90.000000,top
"BZ1","DNP","Buzzer_CUI_CPT-9019S-SMT",180.319500,-110.285621,180.000000,top
"C1","10u","C_0805_2012Metric",211.882000,-109.285621,180.000000,top
"C2","10u","C_0805_2012Metric",197.819500,-112.285621,0.000000,top
"C3","10u","C_0805_2012Metric",157.569500,-109.535621,180.000000,top
"C101","DNP","C_0805_2012Metric",221.819500,-109.285621,90.000000,top
"D1","DNP","D_SOD-323",204.169500,-109.285621,180.000000,top
"D2","schottky","D_SOD-323",204.819500,-112.285621,90.000000,top
"D3","Red LED","LED_D5.0mm",99.069500,-118.135621,180.000000,top
"D4","DNP","SOT-723",202.044500,-118.885621,0.000000,top
"D5","TVS DIODE 12V 23.7V","D_SOD-523",197.819500,-110.285621,0.000000,top
"G1","LOGO","oi_logo_small",95.819500,-104.785621,0.000000,top
"J1","FC-M8-5","M8-5",214.819500,-115.285621,0.000000,top
"J2","USB_C_Receptacle_USB2.0","USB_C_Receptacle_HRO_TYPE-C-31-M-12",194.819500,-119.885621,0.000000,top
"J3","FC-M8-5","M8-5",160.019500,-115.285621,0.000000,top
"LOGO1","Logo_Open_Hardware_Small","VogelwarteLogo3",155.819500,-104.785621,0.000000,top
"LS1","SMT-0931-S-R","SMT-0931-S-R",180.319500,-110.285621,-45.000000,top
"Q1","NMOS 30V 4A","SOT-23",171.169500,-109.435621,90.000000,top
"Q2","PMOS 20V 3A","SOT-23",190.632000,-104.985621,180.000000,top
"R1","1k","R_0603_1608Metric",204.219500,-115.185621,0.000000,top
"R2","430R","R_0603_1608Metric",154.719500,-109.085621,90.000000,top
"R3","0R","R_0603_1608Metric",170.994500,-114.435621,180.000000,top
"R4","5k1","R_0603_1608Metric",170.994500,-112.435621,0.000000,top
"R5","0R","R_0603_1608Metric",195.069500,-104.035621,180.000000,top
"R6","5k1","R_0603_1608Metric",190.619500,-111.685621,-90.000000,top
"R7","5k1","R_0603_1608Metric",200.819500,-111.285621,-90.000000,top
"R8","5k1","R_0603_1608Metric",195.069500,-106.035621,0.000000,top
"R9","DNP","R_0603_1608Metric",195.219500,-111.685621,90.000000,top
"R10","DNP","R_0603_1608Metric",193.619500,-111.685621,90.000000,top
"R101","DNP","R_0603_1608Metric",219.819500,-109.285621,-90.000000,top
