i,date,time,temp,hum,pres
1,27/2/2021,2:12:34,25.2,52.4,971.8
2,27/2/2021,2:17:34,21.1,26.8,971.8
3,27/2/2021,2:22:34,21.3,33.8,971.1
4,27/2/2021,2:27:34,21.9,36.6,971.1
5,27/2/2021,2:32:34,22.2,37.7,971.7
6,27/2/2021,2:37:34,22.4,38.3,971.6
7,27/2/2021,2:42:34,22.4,38.8,971.2
8,27/2/2021,2:47:34,22.5,39.2,971.7
9,27/2/2021,2:52:34,22.5,39.6,971.1
10,27/2/2021,2:57:34,22.6,40.1,971.7
11,27/2/2021,3:2:34,22.6,40.5,971.1
12,27/2/2021,3:7:34,22.6,40.8,971.4
13,27/2/2021,3:12:34,22.6,41.1,971.8
14,27/2/2021,3:17:34,22.6,41.3,971.0
15,27/2/2021,3:22:34,22.6,41.6,971.3
16,27/2/2021,3:27:34,22.6,42.0,971.7
17,27/2/2021,3:32:34,22.6,42.3,971.0
18,27/2/2021,3:37:34,22.6,42.6,971.3
19,27/2/2021,3:42:34,22.6,42.8,971.5
20,27/2/2021,3:47:34,22.6,43.1,971.8
21,27/2/2021,3:52:34,22.6,43.3,971.0
22,27/2/2021,3:57:34,22.6,43.5,971.2
23,27/2/2021,4:2:34,22.6,43.8,971.5
24,27/2/2021,4:7:34,22.6,44.0,971.7
25,27/2/2021,4:12:34,22.6,44.2,971.9
26,27/2/2021,4:17:34,22.6,44.6,971.3
27,27/2/2021,4:22:34,22.7,44.8,971.6
28,27/2/2021,4:27:34,22.7,45.1,971.9
29,27/2/2021,4:32:34,22.7,45.4,971.2
30,27/2/2021,4:37:34,22.7,45.7,971.5
31,27/2/2021,4:42:34,22.7,46.0,971.8
32,27/2/2021,4:47:34,22.7,46.2,971.1
33,27/2/2021,4:52:34,22.7,46.6,971.5
34,27/2/2021,4:57:34,22.7,47.0,971.8
35,27/2/2021,5:2:34,22.7,47.3,971.1
36,27/2/2021,5:7:34,22.7,47.6,971.4
37,27/2/2021,5:12:34,22.7,47.8,971.6
38,27/2/2021,5:17:34,22.6,48.3,971.9
39,27/2/2021,5:22:34,22.6,48.6,971.2
40,27/2/2021,5:27:34,22.5,48.8,971.3
41,27/2/2021,5:32:34,22.5,48.9,971.4
42,27/2/2021,5:37:34,22.4,49.4,971.8
43,27/2/2021,5:42:34,22.4,49.7,971.1
44,27/2/2021,5:47:34,22.4,49.9,971.2
45,27/2/2021,5:52:34,22.4,50.1,971.4
46,27/2/2021,5:57:34,22.4,50.3,971.6
47,27/2/2021,6:2:34,22.3,50.5,971.7
48,27/2/2021,6:7:34,22.3,50.8,971.0
49,27/2/2021,6:12:34,22.3,51.1,971.3
50,27/2/2021,6:17:34,22.3,51.4,971.6
51,27/2/2021,6:22:34,22.3,51.6,971.7
52,27/2/2021,6:27:34,22.3,51.7,971.8
53,27/2/2021,6:32:34,22.3,51.9,971.0
54,27/2/2021,6:37:34,22.3,51.9,971.0
55,27/2/2021,6:42:34,22.2,52.1,971.1
56,27/2/2021,6:47:34,22.2,52.3,971.3
57,27/2/2021,6:52:34,22.2,52.6,971.6
